
RULES:
S: (14) [C] [6/8] $In $Vr $Ln $Vr2 $Br $Vr2 $Br2 $Br3 $Vr2 $Br4 $Ln $A 
Br4: (17) IV | | | | V7/V | | | | [F] ii | | V | | 
Br3: (13) [F] IV | | | iv | I | | bVId7 | | 
Br2: (23) IV | | | | V7/V | | | | [F] ii | | V | | I | | V7/IV | | 
Br: (11) IV | | | | vi | | bVId7 | | 
Ln: (2) $A $A 
Vr2: (10) $A I | bVII V7 | I | V7/IV | 
Vr: (2) $A $A 
In: (5) bVIId7 | V7 V7/V | 
A: (9) I | bVII V7 | I | bVII | 

Raw chord progression:
[C] bVIId7 | V7 V7/V | I | bVII V7 | I | bVII | I | bVII V7 | I | bVII | I | bVII V7 | I | bVII | I | bVII V7 | I | bVII | I | bVII V7 | I | bVII | I | bVII V7 | I | V7/IV | IV | | | | vi | | bVId7 | | I | bVII V7 | I | bVII | I | bVII V7 | I | V7/IV | IV | | | | V7/V | | | | [F] ii | | V | | I | | V7/IV | | IV | | | iv | I | | bVId7 | | [C] I | bVII V7 | I | bVII | I | bVII V7 | I | V7/IV | IV | | | | V7/V | | | | [F] ii | | V | | [C] I | bVII V7 | I | bVII | I | bVII V7 | I | bVII | I | bVII V7 | I | bVII | 

Chords: bVIId7 (0.000) V7 (1.000) V7/V (1.500) I (2.000) bVII (3.000) V7 (3.500) I (4.000) bVII (5.000) I (6.000) bVII (7.000) V7 (7.500) I (8.000) bVII (9.000) I (10.000) bVII (11.000) V7 (11.500) I (12.000) bVII (13.000) I (14.000) bVII (15.000) V7 (15.500) I (16.000) bVII (17.000) I (18.000) bVII (19.000) V7 (19.500) I (20.000) bVII (21.000) I (22.000) bVII (23.000) V7 (23.500) I (24.000) V7/IV (25.000) IV (26.000) vi (30.000) bVId7 (32.000) I (34.000) bVII (35.000) V7 (35.500) I (36.000) bVII (37.000) I (38.000) bVII (39.000) V7 (39.500) I (40.000) V7/IV (41.000) IV (42.000) V7/V (46.000) ii (50.000) V (52.000) I (54.000) V7/IV (56.000) IV (58.000) iv (61.000) I (62.000) bVId7 (64.000) I (66.000) bVII (67.000) V7 (67.500) I (68.000) bVII (69.000) I (70.000) bVII (71.000) V7 (71.500) I (72.000) V7/IV (73.000) IV (74.000) V7/V (78.000) ii (82.000) V (84.000) I (86.000) bVII (87.000) V7 (87.500) I (88.000) bVII (89.000) I (90.000) bVII (91.000) V7 (91.500) I (92.000) bVII (93.000) I (94.000) bVII (95.000) V7 (95.500) I (96.000) bVII (97.000) 

Chords w/ timepoints and roots:
 0.00  1.00 bVIId7  10   7   0  10
 1.00  1.50    V7   7   5   0   7
 1.50  2.00  V7/V   2   2   0   2
 2.00  3.00     I   0   1   0   0
 3.00  3.50  bVII  10   7   0  10
 3.50  4.00    V7   7   5   0   7
 4.00  5.00     I   0   1   0   0
 5.00  6.00  bVII  10   7   0  10
 6.00  7.00     I   0   1   0   0
 7.00  7.50  bVII  10   7   0  10
 7.50  8.00    V7   7   5   0   7
 8.00  9.00     I   0   1   0   0
 9.00 10.00  bVII  10   7   0  10
10.00 11.00     I   0   1   0   0
11.00 11.50  bVII  10   7   0  10
11.50 12.00    V7   7   5   0   7
12.00 13.00     I   0   1   0   0
13.00 14.00  bVII  10   7   0  10
14.00 15.00     I   0   1   0   0
15.00 15.50  bVII  10   7   0  10
15.50 16.00    V7   7   5   0   7
16.00 17.00     I   0   1   0   0
17.00 18.00  bVII  10   7   0  10
18.00 19.00     I   0   1   0   0
19.00 19.50  bVII  10   7   0  10
19.50 20.00    V7   7   5   0   7
20.00 21.00     I   0   1   0   0
21.00 22.00  bVII  10   7   0  10
22.00 23.00     I   0   1   0   0
23.00 23.50  bVII  10   7   0  10
23.50 24.00    V7   7   5   0   7
24.00 26.00     I   0   1   0   0
26.00 30.00    IV   5   4   0   5
30.00 32.00    vi   9   6   0   9
32.00 34.00 bVId7   8   6   0   8
34.00 35.00     I   0   1   0   0
35.00 35.50  bVII  10   7   0  10
35.50 36.00    V7   7   5   0   7
36.00 37.00     I   0   1   0   0
37.00 38.00  bVII  10   7   0  10
38.00 39.00     I   0   1   0   0
39.00 39.50  bVII  10   7   0  10
39.50 40.00    V7   7   5   0   7
40.00 42.00     I   0   1   0   0
42.00 46.00    IV   5   4   0   5
46.00 50.00  V7/V   2   2   0   2
50.00 52.00    ii   2   2   5   7
52.00 54.00     V   7   5   5   0
54.00 58.00     I   0   1   5   5
58.00 62.00    IV   5   4   5  10
62.00 64.00     I   0   1   5   5
64.00 66.00 bVId7   8   6   5   1
66.00 67.00     I   0   1   0   0
67.00 67.50  bVII  10   7   0  10
67.50 68.00    V7   7   5   0   7
68.00 69.00     I   0   1   0   0
69.00 70.00  bVII  10   7   0  10
70.00 71.00     I   0   1   0   0
71.00 71.50  bVII  10   7   0  10
71.50 72.00    V7   7   5   0   7
72.00 74.00     I   0   1   0   0
74.00 78.00    IV   5   4   0   5
78.00 82.00  V7/V   2   2   0   2
82.00 84.00    ii   2   2   5   7
84.00 86.00     V   7   5   5   0
86.00 87.00     I   0   1   0   0
87.00 87.50  bVII  10   7   0  10
87.50 88.00    V7   7   5   0   7
88.00 89.00     I   0   1   0   0
89.00 90.00  bVII  10   7   0  10
90.00 91.00     I   0   1   0   0
91.00 91.50  bVII  10   7   0  10
91.50 92.00    V7   7   5   0   7
92.00 93.00     I   0   1   0   0
93.00 94.00  bVII  10   7   0  10
94.00 95.00     I   0   1   0   0
95.00 95.50  bVII  10   7   0  10
95.50 96.00    V7   7   5   0   7
96.00 97.00     I   0   1   0   0
97.00 98.00  bVII  10   7   0  10
---

