
RULES:
S: (14) [F#] $Ln $Zz $Zz $Zz $Ch $Ln $A $A $A $A $A I | 
Zz: (4) $Vr $Vr $Ch $Ln 
Ln: (10) I IV64 | I . I7 IV64 | $A $A 
Ch: (29) I V | I V I . | I . V I | I . V I | I7 IV64 | I IV64 I . | $D Vs4 | 
Vr: (4) $B $C $D $D 
In: (4) $A $A $A $A 
D: (5) I7 IV64 | Vs4 | 
C: (10) I . . V | V I . . | 
B: (6) I7 IV64 | Vs4 I | 
A: (5) I . . IV64 | 

Warning: 'In' is defined but never used
Raw chord progression:
[F#] I IV64 | I . I7 IV64 | I . . IV64 | I . . IV64 | I7 IV64 | Vs4 I | . . . V | . I . . | I7 IV64 | Vs4 | I7 IV64 | Vs4 | I7 IV64 | Vs4 I | . . . V | . I . . | I7 IV64 | Vs4 | I7 IV64 | Vs4 | I V | I V I . | . . V I | . . V I | I7 IV64 | I IV64 I . | I7 IV64 | Vs4 | | I IV64 | I . I7 IV64 | I . . IV64 | I . . IV64 | I7 IV64 | Vs4 I | . . . V | . I . . | I7 IV64 | Vs4 | I7 IV64 | Vs4 | I7 IV64 | Vs4 I | . . . V | . I . . | I7 IV64 | Vs4 | I7 IV64 | Vs4 | I V | I V I . | . . V I | . . V I | I7 IV64 | I IV64 I . | I7 IV64 | Vs4 | | I IV64 | I . I7 IV64 | I . . IV64 | I . . IV64 | I7 IV64 | Vs4 I | . . . V | . I . . | I7 IV64 | Vs4 | I7 IV64 | Vs4 | I7 IV64 | Vs4 I | . . . V | . I . . | I7 IV64 | Vs4 | I7 IV64 | Vs4 | I V | I V I . | . . V I | . . V I | I7 IV64 | I IV64 I . | I7 IV64 | Vs4 | | I IV64 | I . I7 IV64 | I . . IV64 | I . . IV64 | I V | I V I . | . . V I | . . V I | I7 IV64 | I IV64 I . | I7 IV64 | Vs4 | | I IV64 | I . I7 IV64 | I . . IV64 | I . . IV64 | I . . IV64 | I . . IV64 | I . . IV64 | I . . IV64 | I . . IV64 | I | 

Chords: I (0.000) IV64 (0.500) I (1.000) I7 (1.500) IV64 (1.750) I (2.000) IV64 (2.750) I (3.000) IV64 (3.750) I7 (4.000) IV64 (4.500) Vs4 (5.000) I (5.500) V (6.750) I (7.250) I7 (8.000) IV64 (8.500) Vs4 (9.000) I7 (10.000) IV64 (10.500) Vs4 (11.000) I7 (12.000) IV64 (12.500) Vs4 (13.000) I (13.500) V (14.750) I (15.250) I7 (16.000) IV64 (16.500) Vs4 (17.000) I7 (18.000) IV64 (18.500) Vs4 (19.000) I (20.000) V (20.500) I (21.000) V (21.250) I (21.500) V (22.500) I (22.750) V (23.500) I (23.750) I7 (24.000) IV64 (24.500) I (25.000) IV64 (25.250) I (25.500) I7 (26.000) IV64 (26.500) Vs4 (27.000) I (29.000) IV64 (29.500) I (30.000) I7 (30.500) IV64 (30.750) I (31.000) IV64 (31.750) I (32.000) IV64 (32.750) I7 (33.000) IV64 (33.500) Vs4 (34.000) I (34.500) V (35.750) I (36.250) I7 (37.000) IV64 (37.500) Vs4 (38.000) I7 (39.000) IV64 (39.500) Vs4 (40.000) I7 (41.000) IV64 (41.500) Vs4 (42.000) I (42.500) V (43.750) I (44.250) I7 (45.000) IV64 (45.500) Vs4 (46.000) I7 (47.000) IV64 (47.500) Vs4 (48.000) I (49.000) V (49.500) I (50.000) V (50.250) I (50.500) V (51.500) I (51.750) V (52.500) I (52.750) I7 (53.000) IV64 (53.500) I (54.000) IV64 (54.250) I (54.500) I7 (55.000) IV64 (55.500) Vs4 (56.000) I (58.000) IV64 (58.500) I (59.000) I7 (59.500) IV64 (59.750) I (60.000) IV64 (60.750) I (61.000) IV64 (61.750) I7 (62.000) IV64 (62.500) Vs4 (63.000) I (63.500) V (64.750) I (65.250) I7 (66.000) IV64 (66.500) Vs4 (67.000) I7 (68.000) IV64 (68.500) Vs4 (69.000) I7 (70.000) IV64 (70.500) Vs4 (71.000) I (71.500) V (72.750) I (73.250) I7 (74.000) IV64 (74.500) Vs4 (75.000) I7 (76.000) IV64 (76.500) Vs4 (77.000) I (78.000) V (78.500) I (79.000) V (79.250) I (79.500) V (80.500) I (80.750) V (81.500) I (81.750) I7 (82.000) IV64 (82.500) I (83.000) IV64 (83.250) I (83.500) I7 (84.000) IV64 (84.500) Vs4 (85.000) I (87.000) IV64 (87.500) I (88.000) I7 (88.500) IV64 (88.750) I (89.000) IV64 (89.750) I (90.000) IV64 (90.750) I (91.000) V (91.500) I (92.000) V (92.250) I (92.500) V (93.500) I (93.750) V (94.500) I (94.750) I7 (95.000) IV64 (95.500) I (96.000) IV64 (96.250) I (96.500) I7 (97.000) IV64 (97.500) Vs4 (98.000) I (100.000) IV64 (100.500) I (101.000) I7 (101.500) IV64 (101.750) I (102.000) IV64 (102.750) I (103.000) IV64 (103.750) I (104.000) IV64 (104.750) I (105.000) IV64 (105.750) I (106.000) IV64 (106.750) I (107.000) IV64 (107.750) I (108.000) IV64 (108.750) I (109.000) 

Chords w/ timepoints and roots:
 0.00  0.50     I   0   1   6   6
 0.50  1.00  IV64   5   4   6  11
 1.00  1.75     I   0   1   6   6
 1.75  2.00  IV64   5   4   6  11
 2.00  2.75     I   0   1   6   6
 2.75  3.00  IV64   5   4   6  11
 3.00  3.75     I   0   1   6   6
 3.75  4.00  IV64   5   4   6  11
 4.00  4.50    I7   0   1   6   6
 4.50  5.00  IV64   5   4   6  11
 5.00  5.50   Vs4   7   5   6   1
 5.50  6.75     I   0   1   6   6
 6.75  7.25     V   7   5   6   1
 7.25  8.50     I   0   1   6   6
 8.50  9.00  IV64   5   4   6  11
 9.00 10.00   Vs4   7   5   6   1
10.00 10.50    I7   0   1   6   6
10.50 11.00  IV64   5   4   6  11
11.00 12.00   Vs4   7   5   6   1
12.00 12.50    I7   0   1   6   6
12.50 13.00  IV64   5   4   6  11
13.00 13.50   Vs4   7   5   6   1
13.50 14.75     I   0   1   6   6
14.75 15.25     V   7   5   6   1
15.25 16.50     I   0   1   6   6
16.50 17.00  IV64   5   4   6  11
17.00 18.00   Vs4   7   5   6   1
18.00 18.50    I7   0   1   6   6
18.50 19.00  IV64   5   4   6  11
19.00 20.00   Vs4   7   5   6   1
20.00 20.50     I   0   1   6   6
20.50 21.00     V   7   5   6   1
21.00 21.25     I   0   1   6   6
21.25 21.50     V   7   5   6   1
21.50 22.50     I   0   1   6   6
22.50 22.75     V   7   5   6   1
22.75 23.50     I   0   1   6   6
23.50 23.75     V   7   5   6   1
23.75 24.50     I   0   1   6   6
24.50 25.00  IV64   5   4   6  11
25.00 25.25     I   0   1   6   6
25.25 25.50  IV64   5   4   6  11
25.50 26.50     I   0   1   6   6
26.50 27.00  IV64   5   4   6  11
27.00 29.00   Vs4   7   5   6   1
29.00 29.50     I   0   1   6   6
29.50 30.00  IV64   5   4   6  11
30.00 30.75     I   0   1   6   6
30.75 31.00  IV64   5   4   6  11
31.00 31.75     I   0   1   6   6
31.75 32.00  IV64   5   4   6  11
32.00 32.75     I   0   1   6   6
32.75 33.00  IV64   5   4   6  11
33.00 33.50    I7   0   1   6   6
33.50 34.00  IV64   5   4   6  11
34.00 34.50   Vs4   7   5   6   1
34.50 35.75     I   0   1   6   6
35.75 36.25     V   7   5   6   1
36.25 37.50     I   0   1   6   6
37.50 38.00  IV64   5   4   6  11
38.00 39.00   Vs4   7   5   6   1
39.00 39.50    I7   0   1   6   6
39.50 40.00  IV64   5   4   6  11
40.00 41.00   Vs4   7   5   6   1
41.00 41.50    I7   0   1   6   6
41.50 42.00  IV64   5   4   6  11
42.00 42.50   Vs4   7   5   6   1
42.50 43.75     I   0   1   6   6
43.75 44.25     V   7   5   6   1
44.25 45.50     I   0   1   6   6
45.50 46.00  IV64   5   4   6  11
46.00 47.00   Vs4   7   5   6   1
47.00 47.50    I7   0   1   6   6
47.50 48.00  IV64   5   4   6  11
48.00 49.00   Vs4   7   5   6   1
49.00 49.50     I   0   1   6   6
49.50 50.00     V   7   5   6   1
50.00 50.25     I   0   1   6   6
50.25 50.50     V   7   5   6   1
50.50 51.50     I   0   1   6   6
51.50 51.75     V   7   5   6   1
51.75 52.50     I   0   1   6   6
52.50 52.75     V   7   5   6   1
52.75 53.50     I   0   1   6   6
53.50 54.00  IV64   5   4   6  11
54.00 54.25     I   0   1   6   6
54.25 54.50  IV64   5   4   6  11
54.50 55.50     I   0   1   6   6
55.50 56.00  IV64   5   4   6  11
56.00 58.00   Vs4   7   5   6   1
58.00 58.50     I   0   1   6   6
58.50 59.00  IV64   5   4   6  11
59.00 59.75     I   0   1   6   6
59.75 60.00  IV64   5   4   6  11
60.00 60.75     I   0   1   6   6
60.75 61.00  IV64   5   4   6  11
61.00 61.75     I   0   1   6   6
61.75 62.00  IV64   5   4   6  11
62.00 62.50    I7   0   1   6   6
62.50 63.00  IV64   5   4   6  11
63.00 63.50   Vs4   7   5   6   1
63.50 64.75     I   0   1   6   6
64.75 65.25     V   7   5   6   1
65.25 66.50     I   0   1   6   6
66.50 67.00  IV64   5   4   6  11
67.00 68.00   Vs4   7   5   6   1
68.00 68.50    I7   0   1   6   6
68.50 69.00  IV64   5   4   6  11
69.00 70.00   Vs4   7   5   6   1
70.00 70.50    I7   0   1   6   6
70.50 71.00  IV64   5   4   6  11
71.00 71.50   Vs4   7   5   6   1
71.50 72.75     I   0   1   6   6
72.75 73.25     V   7   5   6   1
73.25 74.50     I   0   1   6   6
74.50 75.00  IV64   5   4   6  11
75.00 76.00   Vs4   7   5   6   1
76.00 76.50    I7   0   1   6   6
76.50 77.00  IV64   5   4   6  11
77.00 78.00   Vs4   7   5   6   1
78.00 78.50     I   0   1   6   6
78.50 79.00     V   7   5   6   1
79.00 79.25     I   0   1   6   6
79.25 79.50     V   7   5   6   1
79.50 80.50     I   0   1   6   6
80.50 80.75     V   7   5   6   1
80.75 81.50     I   0   1   6   6
81.50 81.75     V   7   5   6   1
81.75 82.50     I   0   1   6   6
82.50 83.00  IV64   5   4   6  11
83.00 83.25     I   0   1   6   6
83.25 83.50  IV64   5   4   6  11
83.50 84.50     I   0   1   6   6
84.50 85.00  IV64   5   4   6  11
85.00 87.00   Vs4   7   5   6   1
87.00 87.50     I   0   1   6   6
87.50 88.00  IV64   5   4   6  11
88.00 88.75     I   0   1   6   6
88.75 89.00  IV64   5   4   6  11
89.00 89.75     I   0   1   6   6
89.75 90.00  IV64   5   4   6  11
90.00 90.75     I   0   1   6   6
90.75 91.00  IV64   5   4   6  11
91.00 91.50     I   0   1   6   6
91.50 92.00     V   7   5   6   1
92.00 92.25     I   0   1   6   6
92.25 92.50     V   7   5   6   1
92.50 93.50     I   0   1   6   6
93.50 93.75     V   7   5   6   1
93.75 94.50     I   0   1   6   6
94.50 94.75     V   7   5   6   1
94.75 95.50     I   0   1   6   6
95.50 96.00  IV64   5   4   6  11
96.00 96.25     I   0   1   6   6
96.25 96.50  IV64   5   4   6  11
96.50 97.50     I   0   1   6   6
97.50 98.00  IV64   5   4   6  11
98.00 100.00   Vs4   7   5   6   1
100.00 100.50     I   0   1   6   6
100.50 101.00  IV64   5   4   6  11
101.00 101.75     I   0   1   6   6
101.75 102.00  IV64   5   4   6  11
102.00 102.75     I   0   1   6   6
102.75 103.00  IV64   5   4   6  11
103.00 103.75     I   0   1   6   6
103.75 104.00  IV64   5   4   6  11
104.00 104.75     I   0   1   6   6
104.75 105.00  IV64   5   4   6  11
105.00 105.75     I   0   1   6   6
105.75 106.00  IV64   5   4   6  11
106.00 106.75     I   0   1   6   6
106.75 107.00  IV64   5   4   6  11
107.00 107.75     I   0   1   6   6
107.75 108.00  IV64   5   4   6  11
108.00 108.75     I   0   1   6   6
108.75 109.00  IV64   5   4   6  11
109.00 110.00     I   0   1   6   6
---

