
RULES:
S: (4) [C] $Zz $Zz $In 
Zz: (5) $In $Vr1 $Vr1 $Vr2 $Vr3 
Vr3: (7) $B I IV | I V | 
Vr2: (4) $A ii V | 
Vr1: (1) $B 
In: (6) $B I IV | V | 
B: (7) $A ii IV64 | V | | 
A: (9) I iii64 | vi I64 | IV vi64 | 

Raw chord progression:
[C] I iii64 | vi I64 | IV vi64 | ii IV64 | V | | I IV | V | I iii64 | vi I64 | IV vi64 | ii IV64 | V | | I iii64 | vi I64 | IV vi64 | ii IV64 | V | | I iii64 | vi I64 | IV vi64 | ii V | I iii64 | vi I64 | IV vi64 | ii IV64 | V | | I IV | I V | I iii64 | vi I64 | IV vi64 | ii IV64 | V | | I IV | V | I iii64 | vi I64 | IV vi64 | ii IV64 | V | | I iii64 | vi I64 | IV vi64 | ii IV64 | V | | I iii64 | vi I64 | IV vi64 | ii V | I iii64 | vi I64 | IV vi64 | ii IV64 | V | | I IV | I V | I iii64 | vi I64 | IV vi64 | ii IV64 | V | | I IV | V | 

Chords: I (0.000) iii64 (0.500) vi (1.000) I64 (1.500) IV (2.000) vi64 (2.500) ii (3.000) IV64 (3.500) V (4.000) I (6.000) IV (6.500) V (7.000) I (8.000) iii64 (8.500) vi (9.000) I64 (9.500) IV (10.000) vi64 (10.500) ii (11.000) IV64 (11.500) V (12.000) I (14.000) iii64 (14.500) vi (15.000) I64 (15.500) IV (16.000) vi64 (16.500) ii (17.000) IV64 (17.500) V (18.000) I (20.000) iii64 (20.500) vi (21.000) I64 (21.500) IV (22.000) vi64 (22.500) ii (23.000) V (23.500) I (24.000) iii64 (24.500) vi (25.000) I64 (25.500) IV (26.000) vi64 (26.500) ii (27.000) IV64 (27.500) V (28.000) I (30.000) IV (30.500) I (31.000) V (31.500) I (32.000) iii64 (32.500) vi (33.000) I64 (33.500) IV (34.000) vi64 (34.500) ii (35.000) IV64 (35.500) V (36.000) I (38.000) IV (38.500) V (39.000) I (40.000) iii64 (40.500) vi (41.000) I64 (41.500) IV (42.000) vi64 (42.500) ii (43.000) IV64 (43.500) V (44.000) I (46.000) iii64 (46.500) vi (47.000) I64 (47.500) IV (48.000) vi64 (48.500) ii (49.000) IV64 (49.500) V (50.000) I (52.000) iii64 (52.500) vi (53.000) I64 (53.500) IV (54.000) vi64 (54.500) ii (55.000) V (55.500) I (56.000) iii64 (56.500) vi (57.000) I64 (57.500) IV (58.000) vi64 (58.500) ii (59.000) IV64 (59.500) V (60.000) I (62.000) IV (62.500) I (63.000) V (63.500) I (64.000) iii64 (64.500) vi (65.000) I64 (65.500) IV (66.000) vi64 (66.500) ii (67.000) IV64 (67.500) V (68.000) I (70.000) IV (70.500) V (71.000) 

Chords w/ timepoints and roots:
 0.00  0.50     I   0   1   0   0
 0.50  1.00 iii64   4   3   0   4
 1.00  1.50    vi   9   6   0   9
 1.50  2.00   I64   0   1   0   0
 2.00  2.50    IV   5   4   0   5
 2.50  3.00  vi64   9   6   0   9
 3.00  3.50    ii   2   2   0   2
 3.50  4.00  IV64   5   4   0   5
 4.00  6.00     V   7   5   0   7
 6.00  6.50     I   0   1   0   0
 6.50  7.00    IV   5   4   0   5
 7.00  8.00     V   7   5   0   7
 8.00  8.50     I   0   1   0   0
 8.50  9.00 iii64   4   3   0   4
 9.00  9.50    vi   9   6   0   9
 9.50 10.00   I64   0   1   0   0
10.00 10.50    IV   5   4   0   5
10.50 11.00  vi64   9   6   0   9
