
RULES:
S: (12) [E] $In $Rf $VrB $Vr $Vr $Tg $So1 $Rf $Vr $Tg $So2 
So2: (6) $C $C $C $C $C $C 
So1: (4) $C $C $C $C 
Tg: (6) IV | i64 | bVII | 
Vr: (6) $B $B $B $A i | 
VrB: (2) $B $B 
Rf: (4) $A $A $A $A 
In: (1) $A 
C: (5) i | bVII6 bVII | 
B: (5) i7 | bIII IV | 
A: (3) i | | 

Raw chord progression:
[E] i | | | | | | | | | | i7 | bIII IV | i7 | bIII IV | i7 | bIII IV | i7 | bIII IV | i7 | bIII IV | i | | | i7 | bIII IV | i7 | bIII IV | i7 | bIII IV | i | | | IV | i64 | bVII | i | bVII6 bVII | i | bVII6 bVII | i | bVII6 bVII | i | bVII6 bVII | i | | | | | | | | i7 | bIII IV | i7 | bIII IV | i7 | bIII IV | i | | | IV | i64 | bVII | i | bVII6 bVII | i | bVII6 bVII | i | bVII6 bVII | i | bVII6 bVII | i | bVII6 bVII | i | bVII6 bVII | 

Chords: i (0.000) i7 (10.000) bIII (11.000) IV (11.500) i7 (12.000) bIII (13.000) IV (13.500) i7 (14.000) bIII (15.000) IV (15.500) i7 (16.000) bIII (17.000) IV (17.500) i7 (18.000) bIII (19.000) IV (19.500) i (20.000) i7 (23.000) bIII (24.000) IV (24.500) i7 (25.000) bIII (26.000) IV (26.500) i7 (27.000) bIII (28.000) IV (28.500) i (29.000) IV (32.000) i64 (33.000) bVII (34.000) i (35.000) bVII6 (36.000) bVII (36.500) i (37.000) bVII6 (38.000) bVII (38.500) i (39.000) bVII6 (40.000) bVII (40.500) i (41.000) bVII6 (42.000) bVII (42.500) i (43.000) i7 (51.000) bIII (52.000) IV (52.500) i7 (53.000) bIII (54.000) IV (54.500) i7 (55.000) bIII (56.000) IV (56.500) i (57.000) IV (60.000) i64 (61.000) bVII (62.000) i (63.000) bVII6 (64.000) bVII (64.500) i (65.000) bVII6 (66.000) bVII (66.500) i (67.000) bVII6 (68.000) bVII (68.500) i (69.000) bVII6 (70.000) bVII (70.500) i (71.000) bVII6 (72.000) bVII (72.500) i (73.000) bVII6 (74.000) bVII (74.500) 

Chords w/ timepoints and roots:
 0.00 11.00     i   0   1   4   4
11.00 11.50  bIII   3   3   4   7
11.50 12.00    IV   5   4   4   9
12.00 13.00    i7   0   1   4   4
13.00 13.50  bIII   3   3   4   7
13.50 14.00    IV   5   4   4   9
14.00 15.00    i7   0   1   4   4
15.00 15.50  bIII   3   3   4   7
15.50 16.00    IV   5   4   4   9
16.00 17.00    i7   0   1   4   4
17.00 17.50  bIII   3   3   4   7
17.50 18.00    IV   5   4   4   9
18.00 19.00    i7   0   1   4   4
19.00 19.50  bIII   3   3   4   7
19.50 20.00    IV   5   4   4   9
20.00 24.00     i   0   1   4   4
24.00 24.50  bIII   3   3   4   7
24.50 25.00    IV   5   4   4   9
25.00 26.00    i7   0   1   4   4
26.00 26.50  bIII   3   3   4   7
26.50 27.00    IV   5   4   4   9
27.00 28.00    i7   0   1   4   4
28.00 28.50  bIII   3   3   4   7
28.50 29.00    IV   5   4   4   9
29.00 32.00     i   0   1   4   4
32.00 33.00    IV   5   4   4   9
33.00 34.00   i64   0   1   4   4
34.00 35.00  bVII  10   7   4   2
35.00 36.00     i   0   1   4   4
36.00 37.00 bVII6  10   7   4   2
37.00 38.00     i   0   1   4   4
38.00 39.00 bVII6  10   7   4   2
39.00 40.00     i   0   1   4   4
40.00 41.00 bVII6  10   7   4   2
41.00 42.00     i   0   1   4   4
42.00 43.00 bVII6  10   7   4   2
43.00 52.00     i   0   1   4   4
52.00 52.50  bIII   3   3   4   7
52.50 53.00    IV   5   4   4   9
53.00 54.00    i7   0   1   4   4
54.00 54.50  bIII   3   3   4   7
54.50 55.00    IV   5   4   4   9
55.00 56.00    i7   0   1   4   4
56.00 56.50  bIII   3   3   4   7
56.50 57.00    IV   5   4   4   9
57.00 60.00     i   0   1   4   4
60.00 61.00    IV   5   4   4   9
61.00 62.00   i64   0   1   4   4
62.00 63.00  bVII  10   7   4   2
63.00 64.00     i   0   1   4   4
64.00 65.00 bVII6  10   7   4   2
65.00 66.00     i   0   1   4   4
66.00 67.00 bVII6  10   7   4   2
67.00 68.00     i   0   1   4   4
68.00 69.00 bVII6  10   7   4   2
69.00 70.00     i   0   1   4   4
70.00 71.00 bVII6  10   7   4   2
71.00 72.00     i   0   1   4   4
72.00 73.00 bVII6  10   7   4   2
73.00 74.00     i   0   1   4   4
74.00 75.00 bVII6  10   7   4   2
---

